"X","Y","Z","ReturnNumber","NumberOfReturns","Classification"
309227.130,6143496.730,466.790,1.000,2.000,5.000
309227.120,6143496.590,466.740,1.000,2.000,5.000
309227.090,6143496.450,466.630,1.000,2.000,5.000
309227.090,6143496.240,466.870,1.000,2.000,5.000
309227.100,6143496.040,467.090,1.000,2.000,5.000
309227.080,6143495.900,467.040,1.000,2.000,5.000
309227.050,6143495.780,466.830,1.000,2.000,5.000
309227.030,6143495.610,466.870,1.000,2.000,5.000
309227.500,6143496.750,466.830,1.000,2.000,5.000
309227.490,6143496.590,466.840,1.000,2.000,5.000
309227.480,6143496.410,467.000,1.000,2.000,5.000
309227.470,6143496.240,467.030,1.000,2.000,5.000
309227.470,6143496.040,467.230,1.000,2.000,5.000
309227.420,6143495.970,466.810,1.000,2.000,5.000
309227.410,6143495.800,466.860,1.000,2.000,5.000
309227.390,6143495.640,466.840,1.000,3.000,5.000
309227.350,6143495.770,466.240,2.000,3.000,5.000
309227.370,6143495.510,466.730,1.000,2.000,5.000
309227.350,6143495.360,466.710,1.000,2.000,5.000
309227.780,6143496.100,467.150,1.000,2.000,5.000
309227.750,6143495.980,466.960,1.000,2.000,5.000
309227.690,6143495.940,466.420,1.000,2.000,5.000
309227.660,6143495.830,466.160,1.000,2.000,5.000
309227.650,6143495.640,466.300,1.000,2.000,5.000
309227.080,6143496.930,458.900,1.000,1.000,2.000
309227.060,6143496.770,458.870,1.000,1.000,2.000
309227.040,6143496.600,458.900,1.000,1.000,2.000
309227.030,6143496.430,458.940,1.000,1.000,2.000
309227.010,6143496.270,458.920,1.000,1.000,2.000
309227.000,6143496.100,458.920,1.000,1.000,2.000
309227.110,6143490.570,465.660,1.000,2.000,5.000
309227.110,6143490.400,465.780,1.000,2.000,5.000
309227.080,6143490.260,465.640,1.000,2.000,5.000
309227.100,6143489.480,466.620,1.000,2.000,5.000
309227.110,6143489.280,466.870,1.000,2.000,5.000
309227.090,6143489.120,466.920,1.000,2.000,5.000
309227.060,6143489.000,466.660,1.000,3.000,5.000
309227.050,6143488.830,466.760,1.000,2.000,5.000
309227.080,6143488.590,467.300,1.000,3.000,5.000
